fiscal_yr,service_id,service_name_en,service_name_fr,service_std_id,service_std_en,service_std_fr,service_std_url_en,service_std_url_fr,service_std_type,target_type,service_std_target,volume_meeting_target,total_volume,performance,gcss_tool_fiscal_yr,channel,standard_channel_comment_en,standard_channel_comment_fr,standard_comment_en,standard_comment_fr,realtime_result_url_en,realtime_result_url_fr,department_name_en,department_name_fr
2019-2020,2104,Women's Program,Programme de promotion de la femme,3084,Issue payments within 20 business days of the successful fulfillment of requirements outlined in the funding agreement.,Notre objectif est d’émettre les paiements dans un délai de 20 jours ouvrables après que les exigences énoncées dans l’entente de financement ont été satisfaites.,,,time,percentage,80,559,716,78.0,2019-2020,onl,,,,,,,Women and Gender Equality Canada,Femmes et Égalité des genres Canada
2019-2020,2104,Women's Program,Programme de promotion de la femme,3085,Acknowledge receipt of application forms within 2 business days.,Notre objectif est d’accuser réception du formulaire de demande dans un délai de 2 jours ouvrables.,,,time,percentage,80,7,7,100.0,2019-2020,onl,,,,,,,Women and Gender Equality Canada,Femmes et Égalité des genres Canada
2019-2020,2105,Gender-Based Violence Program,Programme de financement de la lutte contre la violence fondée sur le sexe,3082,Acknowledge receipt of application forms within 2 business days.,Notre objectif est d’accuser réception du formulaire de demande dans un délai de 2 jours ouvrables.,,,time,percentage,80,0,0,ND,2019-2020,onl,,,,,,,Women and Gender Equality Canada,Femmes et Égalité des genres Canada
2019-2020,2105,Gender-Based Violence Program,Programme de financement de la lutte contre la violence fondée sur le sexe,3083,Issue payments within 20 business days of the successful fulfillment of requirements outlined in the funding agreement.,Notre objectif est d’émettre les paiements dans un délai de 20 jours ouvrables après que les exigences énoncées dans l’entente de financement ont été satisfaites.,,,time,percentage,80,54,73,74.0,2019-2020,onl,,,,,,,Women and Gender Equality Canada,Femmes et Égalité des genres Canada
2019-2020,2106,"Equality for Sex, Sexual Orientation, Gender Identity and Expression Program","Programme de promotion de l’égalité des sexes, de l’orientation sexuelle, de l’identité et de l’expression de genre",3080,Issue payments within 20 business days of the successful fulfillment of requirements outlined in the funding agreement.,Notre objectif est d’émettre les paiements dans un délai de 20 jours ouvrables après que les exigences énoncées dans l’entente de financement ont été satisfaites.,,,time,percentage,80,13,15,87.0,2019-2020,onl,,,,,,,Women and Gender Equality Canada,Femmes et Égalité des genres Canada
2019-2020,2106,"Equality for Sex, Sexual Orientation, Gender Identity and Expression Program","Programme de promotion de l’égalité des sexes, de l’orientation sexuelle, de l’identité et de l’expression de genre",3081,Acknowledge receipt of application forms within 2 business days.,Notre objectif est d’accuser réception du formulaire de demande dans un délai de 2 jours ouvrables.,,,time,percentage,80,0,0,ND,2019-2020,onl,,,,,,,Women and Gender Equality Canada,Femmes et Égalité des genres Canada
2019-2020,1557,Certified Reference Materials,Matériaux de référence certifiés,1557,Orders are processed and shipped within 5 business days of receiving all the required information from purchaser – temperature sensitive products may require longer processing time due to carrier shipping schedules.,Le traitement et l'expédition de commandes se font dans les cinq jours ouvrables suivant la réception de toutes les informations requises de l'acheteur. Un délai plus long pourrait s'avérer nécessaire pour le traitement de produits thermosensibles en raison des horaires d'expédition des transporteurs.,,,time,percentage,90,1243,1243,100.0,,oth,"The service is standard is administered through the following channels: 
•Virtual Store (online)
•Email","La norme de service est administrée par les voies suivantes :
• magasin virtuel (en ligne)
• en ligne.",,,,,National Research Council Canada,Conseil national de recherches Canada
2019-2020,1275,IRAP Grants and Contributions,Subventions et contributions du PARI,1204,"IRAP identifies and addresses client needs confidentially, providing the highest-quality services in a courteous and professional way.","Le PARI détermine les besoins des clients et y répond en toute confidentialité, en fournissant des services de la plus haute qualité de façon courtoise et professionnelle.",https://nrc.canada.ca/en/support-technology-innovation/nrc-irap-service-standards,https://nrc.canada.ca/fr/soutien-linnovation-technologique/normes-service-pari-cnrc,oth,percentage,100,1873,1931,97.0,2018-2019,oth,"The quality of the service and staff professionalism.

The service is standard is administered through the following channels: 
•Telephone 
•In-person
•Online","La qualité de service et professionalisme du personnel.

La norme de service est administrée par les voies suivantes :
• au téléphone; 
• en personne;
• en ligne.","The service is standard is administered through the following channels: 
•Telephone 
•In-person
•Online 

Total Annual Business Volume represents the total number of funded firms who started new projects in a given fiscal year (includes  NRC IRAP support to firms for technology innovation projects and for the youth employment program) .

The Annual Business Volume Satisfying Standard was recorded by the service as a percentage (97%). The number shown is the approximate value for the percentage reported.

Total Annual Business Volume represents the total number of funded firms who started new projects in a given fiscal year (includes  NRC IRAP support to firms for technology innovation projects and for the youth employment program) .

The Annual Business Volume Satisfying Standard was recorded by the service as a percentage (97%). The number shown is the approximate value for the percentage reported.","La norme de service est administrée par les voies suivantes :
• au téléphone; 
• en personne;
• en ligne.

Le volume d'activités annuel total représente le nombre d'entreprises financées qui ont lancé de nouveaux projets au cours d'un exercice financier particulier (comprend le support  aux entreprises du PARI CNRC pour les projets d'innovation technologique et pour le programme emploi jeunesse). 

Le volume d'activité annuel satisfaisant la norme de service a été enregistrée par le service sous forme de pourcentage (97%). Le nombre indiqué est la valeur approximative correspondant à ce pourcentage.",,,National Research Council Canada,Conseil national de recherches Canada
2019-2020,1275,IRAP Grants and Contributions,Subventions et contributions du PARI,1211,"IRAP timelines to provide a funding decision vary based upon the scale of IRAP contributions to the project:
• up to $50,000 - 20 business days 
• up to $500,000 - 30 business days
• up to $3,000,000 - 45 business days
• up to $10,000,000 - 60 business days","Le délai d’exécution du PARI pour rendre une décision de financement varie en fonction des contributions du PARI au projet :
• jusqu’à 50 000 $ - 20 jours ouvrables; 
• jusqu’à 500 000 $ - 30 jours ouvrables;
• jusqu’à 3 000 000 $ - 45 jours ouvrables;
• jusqu’à 10 000 000 $ - 60 jours ouvrables.",https://nrc.canada.ca/en/support-technology-innovation/nrc-irap-service-standards,https://nrc.canada.ca/fr/soutien-linnovation-technologique/normes-service-pari-cnrc,time,percentage,100,1468,1931,76.0,2018-2019,onl,,,"IRAP's funding decisions are based on a formal assessment process and the availability of funds. Once IRAP has a complete proposal and the requested documentation from the client, its goal is to provide a funding decision within the timelines listed under the service standard.

Total Annual Business Volume represents the total number of funded firms who started new projects in a given fiscal year (includes  NRC IRAP support to firms for technology innovation projects and for the youth employment program) .

The Annual Business Volume Satisfying Standard was recorded by the service as a percentage (76%). The number shown is the approximate value for the percentage reported.","Les décisions de financement du PARI reposent sur un processus d’évaluation officiel et sont assujetties à la disponibilité des fonds. Dès que le PARI dispose d’une proposition complète et de tous les documents demandés au client, il s’applique à rendre une décision de financement dans les délais prescrits par la norme de service.

Le volume d'activités annuel total représente le nombre d'entreprises financées qui ont lancé de nouveaux projetsau cours d'un exercice financier particulier  (comprend le support  aux entreprises du PARI CNRC pour les projets d'innovation technologique et pour le programme emploi jeunesse). 

Le volume d'activité annuel satisfaisant la norme de service a été enregistrée par le service sous forme de pourcentage (76%). Le nombre indiqué est la val",,,National Research Council Canada,Conseil national de recherches Canada
2019-2020,1275,IRAP Grants and Contributions,Subventions et contributions du PARI,1222,IRAP issues payments within 35 business days of receiving all required documents and a correctly completed claim form.,Le PARI verse les paiements dans les 35 jours ouvrables suivant la réception de tous les documents requis et d'un formulaire de demande dûment rempli.,https://nrc.canada.ca/en/support-technology-innovation/nrc-irap-service-standards,https://nrc.canada.ca/fr/soutien-linnovation-technologique/normes-service-pari-cnrc,time,percentage,100,26211,27022,97.0,2018-2019,onl,,,"Total Annual Business Volume represents the total number of claims paid out to funded firms  ina  fiscal year.

The Annual Business Volume Satisfying Standard was recorded by the service as a percentage (97%). The number shown is the approximate value for the percentage reported.","Le volume d'activités annuel total représente le nombre total de versement complétés pour les demandes effectuées  par des entreprises financées au cours d'un exercice financier.

Le volume d'activité annuel satisfaisant la norme de service a été enregistrée par le service sous forme de pourcentage (97%). Le nombre indiqué est la valeur approximative correspondant à ce pourcentage.",,,National Research Council Canada,Conseil national de recherches Canada
