fiscal_yr,service_id,service_name_en,service_name_fr,department_name_en,department_name_fr,external_internal,service_type,special_designations,service_description_en,service_description_fr,service_url_en,service_url_fr,program_name_en,program_name_fr,last_GBA,client_target_groups,info_service,service_fee,cra_business_number,use_of_sin,service_channels,online_applications,web_visits_info_service,calls_received,in_person_applications,postal_mail_applications,other_applications,e_registration,e_authentication,e_application,e_decision,e_issuance,e_feedback,client_feedback,special_remarks_en,special_remarks_fr
2017-2018,135,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,"prior,crit",Provides financial counselling and mediation services to farmers in financial difficulty.,Offre des services de consultation financière et de médiation aux agriculteurs qui éprouvent des difficultés financières,http://www.agr.gc.ca/eng/programs-and-services/farm-debt-mediation-service/?id=1536081857309,http://www.agr.gc.ca/fra/programmes-et-services/service-de-mediation-en-matiere-d-endettement-agricole/?id=1536081857309,Farm Debt Mediation Service,Service de médiation en matière d'endettement agricole,NA,econom,NA,N,N,NA,ND,149,20863,4819,3,185,443,NA,NA,Y,NA,N,NA,onl,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service


The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2017-2018,136,"AgriAssurance
National Industry Association Component

Formerly
AgriMarketing Program
Assurance Systems",Programme Agri-assurance : Volet Associations nationales de l'industrie,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,prior,"Provides support, at the national level, to help industry develop and adopt systems, standards and tools to support quality attributes, health and safety claims about Canadian agricultural and agri-food products.","Le programme finance des projets, au niveau national, destinés à aider l'industrie à élaborer et à adopter des systèmes, des normes et des outils permettant de formuler des affirmations pertinentes sur la qualité, la santé et la salubrité des produits agricoles et agroalimentaires canadiens.",http://www.agr.gc.ca/eng/programs-and-services/agriassurance-program-national-industry-association-component/?id=1515010952950,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-assurance-volet-associations-nationales-de-l-industrie/?id=1515010952950,AgriMarketing,Programme Agri-marketing,NA,econom,NA,N,Y,NA,ND,23,1276,0,0,0,1,NA,NA,Y,Y,N,Y,onl,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2017-2018,137,"AgriMarketing Program
National Industry Association

Formerly
AgriMarketing Program 
Market Development",Programme Agri-marketing : Volet Associations nationales de l'industrie,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,prior,"Provides support to increase and diversify exports to international markets and seize domestic market opportunities through industry-led promotional activities that differentiate Canadian products and producers, and leverage Canada’s reputation for high quality and safe food.","Le programme finance des projets qui vise à accroître et à diversifier les exportations à l'étranger, et à saisir des débouchés sur le marché national par l'entremise d'activités promotionnelles dirigées par l'industrie qui distinguent les produits et producteurs canadiens et misent sur la réputation du Canada comme producteur d'aliments de grande qualité et sans danger pour la santé.",http://www.agr.gc.ca/eng/programs-and-services/agrimarketing-program-national-industry-association-component/?id=1515092171804,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-marketing-volet-associations-nationales-de-l-industrie/?id=1515092171804,AgriMarketing,Programme Agri-marketing,NA,econom,NA,N,Y,NA,ND,46,1507,0,0,0,0,NA,NA,Y,Y,N,Y,onl,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2017-2018,138,"AgriScience Program 
Projects

Formerly
AgriInnovation Program 
Industry-led Research and Development (Stream B)",Programme Agri-science - projets,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,prior,"The program aims to accelerate the pace of innovation by providing funding and support for pre-commercial science activities and cutting-edge research that benefits the agriculture and agri-food sector and Canadians.

This component aims to support specific shorter-term research activities to help industry overcome challenges and address fiscal barriers experienced by small and emerging sectors. They also seek to mitigate high risk opportunities that have the potential to yield significant returns.","L'objectif du programme est d'accélérer le rythme des innovations, au moyen du financement et du soutien d'activités scientifiques de pré-commercialisation et de la recherche de pointe pour le bénéfice du secteur de l'agriculture et de l'agroalimentaire et des Canadiens.

Les propositions de projets comprennent des projets uniques ou des ensembles plus restreints de projets qui sont moins détaillés qu'une grappe agroscientifique.","http://www.agr.gc.ca/eng/programs-and-services/agriscience-program-clusters/?id=1511185929317

http://www.agr.gc.ca/eng/programs-and-services/agriscience-program-projects/?id=1516993063537","http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-science-grappes/?id=1511185929317

http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-science-projets/?id=1516993063537",AgriScience,Agri-science,NA,NGO,NA,N,NA,NA,ND,28,3060,162,0,0,0,NA,NA,Y,Y,N,Y,onl,"The use of""NA"" in the CRA Business Number column is an indication that this service is not delivered to a business

The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2017-2018,139,"AgriInnovate Program 

Formerly
AgriInnovation Program 
Enabling Commercialization and Adoption (Stream C)",Programme Agri-innover,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,prior,"This program provides repayable contributions for projects that aim to accelerate the demonstration, commercialization and/or adoption of innovative products, technologies, processes or services that increase agri-sector competitiveness and sustainability.","Le Programme offre des contributions financières remboursables pour des projets qui visent à accélérer la démonstration, la commercialisation et l'adoption de produits, technologies, procédés ou services innovateurs afin d'accroître la compétitivité et la viabilité dans le secteur de l'agriculture.",http://www.agr.gc.ca/eng/programs-and-services/agriinnovate-program/?id=1515682916298,http://www.agr.gc.ca/fra/programmes-et-services/programme-agri-innover/?id=1515682916298,AgriInnovate,Agri-inoover,NA,NGO,NA,N,NA,NA,ND,2,3535,83,0,0,124,NA,NA,Y,Y,N,Y,onl,"The use of""NA"" in the CRA Business Number column is an indication that this service is not delivered to a business

The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2017-2018,133,AgriInvest,Agri-investissement,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,prior,"Provides matching contributions to producers who make annual deposits to an AgriInvest account, to help manage income declines or make investments to mitigate risks or improve market income.","Offre des contributions de contrepartie aux producteurs qui font des dépôts annuels dans un compte Agri-investissement, afin de gérer les baisses de revenus ou de faire des investissements dans le but d'atténuer les risques ou d'améliorer les revenus tirés du marché.",http://www.agr.gc.ca/eng/?id=1291828779399,http://www.agr.gc.ca/fra/?id=1291828779399,AgriInvest,Agri-investissement,NA,econom,NA,N,Y,Y,ND,109772,2639,0,0,0,14043,Y,Y,Y,Y,Y,Y,onl,"

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service.",
2017-2018,134,AgriStability,Agri-stabilité,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,prior,Provides income support to producers who experience a large margin decline.,Offre un soutien du revenu aux producteurs qui subissent une baisse importante de leur marge.,http://www.agr.gc.ca/eng/?id=1291990433266,http://www.agr.gc.ca/fra/?id=1291990433266,AgriStability,Agri-stabilité,NA,econom,NA,N,Y,Y,ND,2852,32969,0,0,0,3857,Y,NA,Y,Y,Y,Y,onl,"
The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service.",
2017-2018,125,Domestic Statistics and Market Information Web,Statistiques canadiennes et site Web d'information sur les marchés,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,adv,prior,"Provides information on market structure and performance, forecasts, market reports, policy backgrounders, and analysis of various agricutlure products","Offre des renseignements sur la structure et le rendement du marché, des prévisions, des rapports sur les marchés, des documents d'information sur les politiques et des analyses de différents produits agricoles.","http://www.agr.gc.ca/eng/industry-markets-and-trade/canadian-agri-food-sector-intelligence/horticulture/horticulture-sector-reports/?id=1368482338314

http://www.agr.gc.ca/eng/industry-markets-and-trade/canadian-agri-food-sector-intelligence/poultry-and-eggs/poultry-and-egg-market-information/?id=1384971854388

http://www.agr.gc.ca/eng/industry-markets-and-trade/canadian-agri-food-sector-intelligence/red-meat-and-livestock/service-standards-for-red-meat-and-livestock-reports/?id=1480968240072","http://www.agr.gc.ca/eng/industry-markets-and-trade/canadian-agri-food-sector-intelligence/horticulture/horticulture-sector-reports/?id=1368482338314

http://www.agr.gc.ca/fra/industrie-marches-et-commerce/renseignements-sur-les-secteurs-canadiens-de-lagroalimentaire/volaille-et-ufs/information-sur-le-marche-de-la-volaille-et-des-oeufs-industrie-canadienne/?id=1384971854388

http://www.agr.gc.ca/fra/industrie-marches-et-commerce/renseignements-sur-les-secteurs-canadiens-de-lagroalimentaire/viande-rouge-et-betail/normes-de-service-relatives-aux-rapports-sur-les-animaux-a-viande-rouge-et-le-betail/?id=1480968240072",Market Information and Analysis,Renseignements sur les marchés et analyses,NA,econom,NA,N,NA,NA,ND,0,4810,965,0,0,2270,NA,NA,Y,Y,Y,Y,onl,"The use of""NA"" in the CRA Business Number column is an indication that this service is not delivered to a business

The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2017-2018,140,AgriRisk,Agri-risques,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,"Provides support for research and development, implementation and administration of new risk management tools for use in the agriculture sector.","Offre des renseignements sur la structure et le rendement du marché, des prévisions, des rapports sur les marchés, des documents d'information sur les politiques et des analyses de différents produits agricoles.",http://www.agr.gc.ca/eng/programs-and-services/agririsk-initiatives-administrative-capacity-building-stream/?id=1530816648717,http://www.agr.gc.ca/fra/programmes-et-services/initiatives-agri-risques-volet-de-renforcement-des-capacites-administratives/?id=1530816648717,AgriRisk Initiatives,Initiatives Agri-risques,NA,NGO,NA,N,NA,NA,ND,45,0,2,0,0,0,Y,NA,Y,Y,Y,Y,onl,"The use of""NA"" in the CRA Business Number column is an indication that this service is not delivered to a business

The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
2017-2018,aafc-aac - 10,Career Focus Program,Programme Objectif carrière,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,extern,res,non,Provides funding to organizations for the creation of agricultural internships that provide young Canadians with meaningful career-related work experiences.,Offre du financement aux organisations pour la création de stages en agriculture qui permettent aux jeunes Canadiens d'acquérir des expériences professionnelles utiles.,http://www.agr.gc.ca/eng/programs-and-services/career-focus-program/?id=1507746193436,http://www.agr.gc.ca/fra/programmes-et-services/programme-objectif-carriere/?id=1507746193436,Career Focus Program,Programme Objectif carrière,NA,econom,NA,N,Y,NA,ND,160,6008,83,0,0,7,NA,NA,Y,Y,N,Y,onl,"The use of""NA"" in the  SIN column is an indication that this service doe not use the SIN to delivered the service

The use of ""NA"" in the Volumes per Channels columns is an indication that this specific channel is not offered for that program/service. 

The use of ""NA"" in the e-enabled service column is an indication that this interaction point does not apply to this service.",
